

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Armor
ARMOR_0_ITEM     | Titanium
ARMOR_0_BRIEF    | Hull Integrity %1
ARMOR_0_DETAIL   | Primitive armor technology. No bonuses to both ship hull integrity and ground forces.

ARMOR_1_NAME     | Duralloy Armor
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Hull Integrity %1
ARMOR_1_DETAIL   | Very hard alloy produced in Zero-G conditions. +50% to ship and transport hull integrity, +5 to ground combat.

ARMOR_2_NAME     | Zortrium Armor
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Hull Integrity %1
ARMOR_2_DETAIL   | An incredibly strong and lightweight material produced by using nano-width sheets of materials like diamond. +100% to ship and transport hull integrity, +10 to ground combat.

ARMOR_3_NAME     | Andrium Armor
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Hull Integrity %1
ARMOR_3_DETAIL   | Incredibly durable alloy made from various metals and substances. +150% to ship and transport hull integrity, +15 to ground combat.

ARMOR_4_NAME     | Tritanium
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Hull Integrity %1
ARMOR_4_DETAIL   | Variant of andrium, with it's atoms arranged in a way as to maximize hardness. +200% to ship and transport hull integrity, +20 to ground combat.

ARMOR_5_NAME     | Adamantium Armor
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Hull Integrity %1
ARMOR_5_DETAIL   | Refined material made from the deep-core material Adamantite. +250% to ship and transport hull integrity, +25 to ground combat.

ARMOR_6_NAME     | Neutronium Armor
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | Hull Integrity %1
ARMOR_6_DETAIL   | The final word in materials technology. Very dense, ionized matter from a neutron star. +300% to ship and transport hull integrity, +30 to ground combat.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Atmospheric Terraforming
ATMOSPHERE_0_DETAIL    | Converts Hostile environments to Normal environments using advanced terraforming facilities, for a cost of 150 BCs.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automated Repair System
AUTOREPAIR_0_BRIEF     | Repairs 15% of ship's hits a turn
AUTOREPAIR_0_DETAIL    | Service robots equipped with RCS thrusters are able to repair up to 15 % of an undestroyed ship's hull integrity at the end of each turn.

AUTOREPAIR_1_NAME      | Advanced Damage Control
AUTOREPAIR_1_BRIEF     | Heals 30% of ship's hits a turn
AUTOREPAIR_1_DETAIL    | Nanites coating the ship's hull are able to repair up to 30 % of an undestroyed ship's hull integrity at the end of each turn.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Attack Level 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Battle Computer Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Attack Level I
COMPUTER_1_DETAIL  | Improved targeting software, increases weapon accuracy to Level 1.

COMPUTER_2_NAME    | Battle Computer Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Attack Level II
COMPUTER_2_DETAIL  | Trained targeting software, increases weapon accuracy to Level 2.

COMPUTER_3_NAME    | Battle Computer Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Attack Level III
COMPUTER_3_DETAIL  | Advanced targeting software, increases weapon accuracy to Level 3.

COMPUTER_4_NAME    | Battle Computer Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Attack Level IV
COMPUTER_4_DETAIL  | Targeting neural networks with self-improving code, increases weapon accuracy to Level 4.

COMPUTER_5_NAME    | Battle Computer Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Attack Level V
COMPUTER_5_DETAIL  | Targeting neural networks able to communicate with each other, increases weapon accuracy to Level 5.

COMPUTER_6_NAME    | Battle Computer Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Attack Level VI
COMPUTER_6_DETAIL  | Targeting neural networks using simulations to train, increases weapon accuracy to Level 6.

COMPUTER_7_NAME    | Battle Computer Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Attack Level VII
COMPUTER_7_DETAIL  | Self-aware AIs using lifelike simulations to train, increases weapon accuracy to Level 7.

COMPUTER_8_NAME    | Battle Computer Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Attack Level VIII
COMPUTER_8_DETAIL  | Self-aware AIs using quantum computing to improve processing power, increases weapon accuracy to Level 8.

COMPUTER_9_NAME    | Battle Computer Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Attack Level IX
COMPUTER_9_DETAIL  | Self-aware AIs using AI assistants to improve efficiency, increases weapon accuracy to Level 9.

COMPUTER_10_NAME   | Battle Computer Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Attack Level X
COMPUTER_10_DETAIL | Warships are now fully under control by combat AIs, increases weapon accuracy to Level 10.

COMPUTER_11_NAME   | Battle Computer Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Attack Level XI
COMPUTER_11_DETAIL | By using advanced quantum phenomena, combat AIs are now able to predict imminent events before they even occur. Increases weapon accuracy to Level 11.


//
// Battle Suit techs for ground combat
// 
// this is for Def Systemsault, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armor
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Battle Suits
BATTLESUIT_1_DETAIL  | Combat suits that increase strength, though reduces speed somewhat. +10 to ground combat.

BATTLESUIT_2_NAME    | Armored Exoskeleton
BATTLESUIT_2_DETAIL  | Lightweight combat suits with increased strength and speed. Equipped with a jetpack, allowing for limited flight. +20 to ground combat.

BATTLESUIT_3_NAME    | Powered Armor
BATTLESUIT_3_DETAIL  | The final word in combat suit technology. Combines high mobility, anti-grav flight, and heavy armored plating in it's design. +30 to ground combat.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | High Energy Focus
BEAMFOCUS_0_BRIEF   | Adds +3 to energy weapon range
BEAMFOCUS_0_DETAIL  | Using new energy focusing techniques, increases the firing range of all energy weapons by three.

BEAMFOCUS_1_NAME    | Oracle Interface
BEAMFOCUS_1_BRIEF   | Concentrate beam weapons, halve enemy's shield
BEAMFOCUS_1_DETAIL  | Using new engineering and safety techniques, coordinates all beam weapon attacks into one simultaneous burst of concentrated fire, halving the enemy's shield strength.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Bio Toxin Antidote
BIOANTIDOTE_0_DETAIL  | Antidote that boosts certain protein chains, reduces casualties taken from bioweapons by 1M per attack, but does not protect against psychological damage.

BIOANTIDOTE_1_NAME    | Universal Antidote
BIOANTIDOTE_1_DETAIL  | An advanced nanovaccine, reduces casualties taken from bioweapons by 2M per attack, blocks some of the pain and psychological damage.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Death Spores
BIOWEAPON_0_BRIEF    | Biological Weapon
BIOWEAPON_0_DETAIL   | Horrible biological weapons that prevent respiration and movement; victims die slow, feeble deaths. Reduces planetary populations by 1M per attack.

BIOWEAPON_1_NAME     | Doom Virus
BIOWEAPON_1_BRIEF    | Biological Weapon
BIOWEAPON_1_DETAIL   | Dreadful biological weapons that eat through flesh and cause nightmarish visions; victims die in intense agony. Reduces planetary populations by 2M per attack.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Biological Weapon
BIOWEAPON_2_DETAIL   | Abominable biological weapons capable of [DATA REDACTED]. Antidote impossible. Reduces planetary populations by 3M per attack.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Black Hole Generator
BLACKHOLE_0_DETAIL   | Warps normal space, creating a black hole that destroys 25% to 100% of enemy ships or missile bases, less 2% per shield class.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Nuclear Bomb
BOMB_0_BRIEF    | Ground Attacks Only
BOMB_0_DETAIL   | Bombs that explode using nuclear reactions for 3-12 points of damage on ground targets only. Produces radioactive fallout and devastates targets.

BOMB_1_NAME     | Fusion Bomb
BOMB_1_BRIEF    | Ground Attacks Only
BOMB_1_DETAIL   | Bombs that explode using nuclear reactions for 5-20 points of damage on ground targets only. Produces radioactive fallout and much devastation to the target.

BOMB_2_NAME     | Anti-Matter Bomb
BOMB_2_BRIEF    | Ground Attacks Only
BOMB_2_DETAIL   | Bombs that explode with a matter-antimatter reaction for 10-40 points of damage against planetary targets only. One blast can change planetary temperature.

BOMB_3_NAME     | Omega-V Bomb
BOMB_3_BRIEF    | Ground Attacks Only
BOMB_3_DETAIL   | Bombs that explode using Omega-V reactions for 20-50 points of damage on ground targets only. Produces an EMP blast that shuts down most electronics on the planet.

BOMB_4_NAME     | Neutronium Bomb
BOMB_4_BRIEF    | Ground Attacks Only
BOMB_4_DETAIL   | Bombs that explode using a chain neutron matter reaction for 40-70 points of damage on ground targets only. All matter within blast radius instantly vanishes.


//
// Cloaking tech
//
CLOAK_0_NAME     | Cloaking Device
CLOAK_0_BRIEF    | Renders ship nearly invisible to sensors
CLOAK_0_DETAIL   | Renders ship nearly invisible to sensors until weapons are used, +5 to defense. Must be inactive to attack; automatically deativated when not attacking.


//
// Cloning tech
//
CLONE_0_NAME     | Cloning
CLONE_0_DETAIL   | Allows for the mass production of bio engineered colonists from a common genetic template at a rate of 1M per 10 BC.

CLONE_1_NAME     | Advanced Cloning
CLONE_1_DETAIL   | New techniques and discoveries allow the streamlining of the cloning process, allowing bio-engineered colonists to be grown at a rate of 1M per 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Combat Teleporters
COMBATTRANSPORT_0_DETAIL   | Gives transports a 50% chance of beaming down their troops onto enemy planets prior to being attacked by enemy ships and missile defense bases.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Controlled Normal Environment
CONTROLENV_0_ITEM    | Standard Colony Base
CONTROLENV_0_BRIEF   | Allows Colonization of normal Planets
CONTROLENV_0_DETAIL  | Permits the colonization of standard planets.

CONTROLENV_1_NAME    | Controlled Barren Environment
CONTROLENV_1_ITEM    | Barren Colony Base
CONTROLENV_1_BRIEF   | Allows Colonization of barren Planets
CONTROLENV_1_DETAIL  | A new kind of colony base, protected from geohazards and terrain, able to extract what little water there is from rocks. Permits the colonization of barren planets.

CONTROLENV_2_NAME    | Controlled Frozen Environment
CONTROLENV_2_ITEM    | Frozen Colony Base
CONTROLENV_2_BRIEF   | Allows Colonization of frozen Planets
CONTROLENV_2_DETAIL  | A new kind of colony base, one insulated and protected from the cold and able to extract most of it's energy deep from the core. Permits the colonization of frozen planets.

CONTROLENV_3_NAME    | Controlled Dead Environment
CONTROLENV_3_ITEM    | Dead Colony Base
CONTROLENV_3_BRIEF   | Allows Colonization of dead Planets
CONTROLENV_3_DETAIL  | A new kind of colony base, one able to protect it's inhabitants from the hazardous environment of the planet. Permits the colonization of dead planets.

CONTROLENV_4_NAME    | Controlled Inferno Environment
CONTROLENV_4_ITEM    | Inferno Colony Base
CONTROLENV_4_BRIEF   | Allows Colonization of Inferno Planets
CONTROLENV_4_DETAIL  | A new kind of colony base, insulated from the environment and able to survive the hellish temperatures of the planet. Permits the colonization of inferno planets.

CONTROLENV_5_NAME    | Controlled Toxic Environment
CONTROLENV_5_ITEM    | Toxic Colony Base
CONTROLENV_5_BRIEF   | Allows Colonization of Toxic Planets
CONTROLENV_5_DETAIL  | A new kind of colony base, one insulated and protected from the strange and cold environment of the planet. Permits the colonization of toxic planets.

CONTROLENV_6_NAME    | Controlled Irradiated Environment
CONTROLENV_6_ITEM    | Radiated Colony Base
CONTROLENV_6_BRIEF   | Allows Colonization of Irradiated Planets
CONTROLENV_6_DETAIL  | A new kind of colony base, one engineered in a way as to protect it's inhabitants from the restless cosmic radiation. Permits the colonization of irradiated planets.


//
// DEFLECTOR Shield tech
//
